DS_CODE,DSD,Risk
20,Galenbindunuwewa,0.0859686162879716
21,Galnewa,0.06364290560081919
22,Horowpothana,0.060018867506448415
23,Ipalogama,0.07725960236997492
24,Kahatagasdigiliya,0.08256471272596945
25,Kebithigollewa,0.03431064234899331
26,Kekirawa,0.0442693802769854
27,Mahavilachchiya,0.043118448079652455
28,Medawachchiya,0.1337801382384368
29,Mihinthale,0.05084524654309178
30,Nachchadoowa,0.04647137383348957
31,Nochchiyagama,0.29045247958317166
32,Nuwaragam Palatha Central,0.13470139891175664
33,Nuwaragam Palatha East,0.07310423047349883
34,Padaviya,0.060330260806672434
35,Palagala,0.021459259511452056
36,Palugaswewa,0.003104235297664169
37,Rajanganaya,0.07123912040697845
38,Rambewa,0.07726028613657365
39,Thalawa,0.1747830833336909
40,Thambuttegama,0.12457336713830625
41,Thirappane,0.04661291551259706
269,Dimbulagala,0.08059984781062077
270,Elahera,0.013535895324491322
271,Hingurakgoda,0.047818341339447915
272,Lankapura,0.02742201133478489
273,Medirigiriya,0.0697486278007042
274,Thamankaduwa,0.07464671552232341
275,Welikanda,0.04707130585030961
